Radius,Step,Position X,Position Y,Position Z,Orientation Roll,Orientation Pitch,Orientation Yaw,Initial Z,Final Z,Delta Z,Success
0.25,1,0.3,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.525409411741017,0.1254094117410169,1
0.25,2,0.285316954888546,0.0927050983124842,0.4,0.0,-0.0,-2.827433388230814,0.4,0.5277390750980796,0.1277390750980795,1
0.25,1,0.3,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.525409411741017,0.1254094117410169,1
0.25,1,0.3,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.525409411741017,0.1254094117410169,1
0.25,2,0.285316954888546,0.0927050983124842,0.4,0.0,-0.0,-2.827433388230814,0.4,0.5277390750980796,0.1277390750980795,1
0.25,3,0.2427050983124842,0.1763355756877419,0.4,0.0,-0.0,-2.5132741228718345,0.4,0.0249880479130197,-0.3750119520869802,0
0.25,4,0.1763355756877419,0.2427050983124842,0.4,0.0,-0.0,-2.199114857512855,0.4,0.0249887754129649,-0.375011224587035,0
0.25,5,0.0927050983124842,0.285316954888546,0.4,0.0,-0.0,-1.884955592153876,0.4,0.0249875218750985,-0.3750124781249014,0
0.25,1,0.25,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.5209829444677765,0.1209829444677764,1
0.25,2,0.2377641290737883,0.0772542485937368,0.4,0.0,-0.0,-2.827433388230814,0.4,0.5252746604639803,0.1252746604639802,1
0.25,3,0.2022542485937368,0.1469463130731182,0.4,0.0,-0.0,-2.5132741228718345,0.4,0.5240904908469582,0.1240904908469582,1
0.25,4,0.1469463130731182,0.2022542485937368,0.4,0.0,-0.0,-2.199114857512855,0.4,0.5248915839322917,0.1248915839322917,1
0.25,5,0.0772542485937368,0.2377641290737883,0.4,0.0,-0.0,-1.884955592153876,0.4,0.522788449866035,0.1227884498660349,1
0.25,6,1.5308084989341918e-17,0.25,0.4,0.0,-0.0,-1.5707963267948968,0.4,0.5268110693913194,0.1268110693913193,1
0.25,7,-0.0772542485937368,0.2377641290737884,0.4,0.0,-0.0,-1.2566370614359177,0.4,0.5260173313134487,0.1260173313134487,1
0.25,8,-0.1469463130731182,0.2022542485937368,0.4,0.0,-0.0,-0.942477796076938,0.4,0.5241972870207608,0.1241972870207608,1
0.25,9,-0.2022542485937368,0.1469463130731183,0.4,0.0,-0.0,-0.6283185307179588,0.4,0.5250786137042533,0.1250786137042533,1
0.25,10,-0.2377641290737883,0.0772542485937368,0.4,0.0,-0.0,-0.3141592653589794,0.4,0.5244533521116493,0.1244533521116493,1
0.25,11,-0.25,3.061616997868383e-17,0.4,0.0,-0.0,-1.2246467991473532e-16,0.4,0.523791799040587,0.123791799040587,1
0.25,12,-0.2377641290737883,-0.0772542485937369,0.4,0.0,-0.0,0.3141592653589797,0.4,0.5260351618117503,0.1260351618117502,1
0.25,13,-0.2022542485937368,-0.1469463130731182,0.4,0.0,-0.0,0.6283185307179586,0.4,0.5240154749214715,0.1240154749214714,1
0.25,14,-0.1469463130731183,-0.2022542485937368,0.4,0.0,-0.0,0.9424777960769378,0.4,0.5237335119107118,0.1237335119107118,1
0.25,15,-0.0772542485937368,-0.2377641290737883,0.4,0.0,-0.0,1.2566370614359172,0.4,0.5244331342798872,0.1244331342798872,1
0.25,16,-4.5924254968025736e-17,-0.25,0.4,0.0,-0.0,1.5707963267948963,0.4,0.52815474692956,0.1281547469295599,1
0.25,17,0.0772542485937368,-0.2377641290737884,0.4,0.0,-0.0,1.884955592153876,0.4,0.5260249697239219,0.1260249697239218,1
0.25,18,0.1469463130731182,-0.2022542485937369,0.4,0.0,-0.0,2.199114857512855,0.4,0.523904915913023,0.123904915913023,1
0.25,19,0.2022542485937368,-0.1469463130731183,0.4,0.0,-0.0,2.5132741228718345,0.4,0.5248559893510615,0.1248559893510614,1
0.25,20,0.2377641290737883,-0.0772542485937369,0.4,0.0,-0.0,2.827433388230814,0.4,0.523333812733846,0.123333812733846,1
0.25,1,0.2,0.0,0.4,0.0,-0.0,3.141592653589793,0.4,0.0249881175312671,-0.3750118824687328,0
0.25,2,0.1902113032590307,0.0618033988749894,0.4,0.0,-0.0,-2.827433388230814,0.4,0.024988228596509,-0.3750117714034909,0
0.25,3,0.1618033988749895,0.1175570504584946,0.4,0.0,-0.0,-2.5132741228718345,0.4,0.0249894465576607,-0.3750105534423393,0
0.25,4,0.1175570504584946,0.1618033988749895,0.4,0.0,-0.0,-2.199114857512855,0.4,0.0249874226919677,-0.3750125773080323,0
0.25,5,0.0618033988749894,0.1902113032590307,0.4,0.0,-0.0,-1.884955592153876,0.4,0.0249879538165507,-0.3750120461834493,0
0.25,6,1.2246467991473533e-17,0.2,0.4,0.0,-0.0,-1.5707963267948968,0.4,0.0249877635133321,-0.3750122364866678,0
0.25,7,-0.0618033988749894,0.1902113032590307,0.4,0.0,-0.0,-1.2566370614359177,0.4,0.0249900630416819,-0.3750099369583181,0
0.25,8,-0.1175570504584946,0.1618033988749895,0.4,0.0,-0.0,-0.9424777960769382,0.4,0.5427690839522459,0.1427690839522458,1
